entry_time,exit_time,entry_price,exit_price,pnl,used_capital,profit,capital,reason
2023-09-11 14:59:42.000,2023-09-06 11:13:00.000,28.84,20.35,-0.294382801664355,84838.72870794835,-24975.06264668798,81073.34823824745,持仓期间回撤超过5%止损
2023-09-25 09:24:30.000,2023-08-31 14:10:30.000,27.89,29.54,0.05916098960200784,64858.67859059796,3837.1036096983344,84910.45184794578,主动止盈
2023-06-14 09:24:03.000,2023-08-02 09:38:54.000,27.29,24.92,-0.08684499816782695,67928.36147835663,-5899.238428131369,79011.2134198144,持仓期间回撤超过5%止损
2023-06-19 14:58:57.000,2024-03-04 14:02:09.000,30.3,25.23,-0.16732673267326734,63208.97073585153,-10576.550548870207,68434.6628709442,次日开盘低于涨停价3%止损
2024-02-05 09:24:57.000,2024-01-31 14:28:15.000,20.58,24.45,0.18804664723032077,54747.73029675536,10295.127125774701,78729.7899967189,持仓期间回撤超过5%止损
2023-11-17 14:57:27.000,2024-02-01 14:41:06.000,29.34,21.61,-0.2634628493524199,62983.83199737512,-16593.89984116257,62135.890155556335,次日开盘低于涨停价3%止损
2024-04-19 09:24:57.000,2023-08-25 09:35:57.000,21.41,27.71,0.2942550210182158,49708.71212444507,14627.038130967023,76762.92828652335,主动止盈
2023-08-02 09:16:48.000,2023-11-29 14:37:21.000,29.8,25.07,-0.1587248322147651,61410.342629218685,-9747.346330073973,67015.58195644939,持仓期间回撤超过5%止损
2023-06-26 09:24:57.000,2024-04-12 10:03:12.000,30.15,21.28,-0.2941956882255389,53612.46556515951,-15772.556204410106,51243.02575203928,次日开盘低于涨停价3%止损
2024-01-25 14:57:54.000,2023-06-27 13:16:30.000,22.39,30.06,0.3425636444841446,40994.42060163143,14043.198124810762,65286.22387685004,主动止盈
2024-03-14 09:24:39.000,2024-03-19 13:15:45.000,25.7,27.46,0.0684824902723736,52228.979101480036,3576.770553253111,68862.99443010315,持仓期间回撤超过5%止损
2024-02-21 09:24:57.000,2023-11-30 14:00:00.000,21.79,28.8,0.32170720513997253,55090.39554408252,17722.977180542384,86585.97161064553,主动止盈
2024-04-24 09:24:03.000,2023-06-30 14:11:24.000,21.59,30.21,0.3992589161648912,69268.77728851643,27656.176944280298,114242.14855492584,主动止盈
2023-06-14 09:24:30.000,2023-07-07 14:21:18.000,27.2,24.41,-0.10257352941176467,91393.71884394067,-9374.5763078895,104867.57224703634,持仓期间回撤超过5%止损
2024-04-30 09:24:12.000,2023-08-07 14:20:36.000,22.4,28.83,0.2870535714285714,83894.05779762908,24082.08891244442,128949.66115948076,主动止盈
2024-01-25 14:58:30.000,2023-11-06 10:00:36.000,22.36,26.59,0.18917710196779966,103159.72892758461,19515.458558304246,148465.119717785,主动止盈
2024-02-26 09:17:24.000,2024-03-07 14:46:33.000,25.55,24.33,-0.047749510763209484,118772.09577422802,-5671.309465540448,142793.81025224456,次日开盘低于涨停价3%止损
2024-02-22 14:59:51.000,2024-02-01 11:18:54.000,23.36,21.79,-0.06720890410958906,114235.04820179565,-7677.612400548768,135116.1978516958,持仓期间回撤超过5%止损
2024-01-25 14:59:51.000,2023-11-17 10:20:21.000,22.26,28.55,0.28256963162623533,108092.95828135664,30543.78740295297,165659.98525464875,主动止盈
2023-06-20 14:58:30.000,2023-07-07 10:35:24.000,31.38,28.49,-0.09209687699171448,132527.988203719,-12205.413827557297,153454.57142709146,次日开盘低于涨停价3%止损
